Venue ID,Venue Name,Address,City
# Transcribed from Eric's "Venues in Active Pool" screen in Central Assign
# (Central Assign/Venues/Eric1-4.png plus a screen sweep 2026-08-12).
# CENTRAL ASSIGN IS LAW. This file beats "AIRTABLE DATA EXPORT TO SupaBase DB/
# Venues-Grid view.csv", which is a stale pre-migration snapshot and is WRONG on
# at least Buckingham Park, Knox Lane, Blackledge, Burnt Hill and West Road.
97,Quinnipiac Recreational Park,Quinnipiac Park,Cheshire
81,Spera Field,Gardiners Woods Rd,Waterford
104,Coventry HS,78 Ripley Hill Road,Coventry
123,Addison Park,450 Addison Road,Glastonbury
264,Cheshire Academy,Cheshire Academy,Cheshire
269,Choate Rosemary Hall,333 Christian Street,Wallingford
314,Irish American Home,132 Commerce Street,Glastonbury
366,Lebanon Elementary School,479 Exeter Rd,Lebanon
367,Lebanon Middle School,891 Exeter Rd,Lebanon
368,Lyman Memorial High School,917 Exeter Rd,Lebanon
369,Lebanon Lions Field,122 Mack Rd,Lebanon
386,Valley Regional High School,256 Kelsey Hill Road,Deep River
395,Lions Club Fields (Mansfield),220 Warrenville Rd,Mansfield
396,River Rd Athletic Complex,511 River Road (Rte 32),Willington
400,Mansfield Middle School,205 Spring Hill Road,Mansfield
417,Nayaug School,222 Old Maids Lane,Glastonbury
459,Loomis Chaffee Fields,4 Batchelder Road,Windsor
460,Oakwood Soccer Park,521 Glastonbury Tpke,Portland
477,Country Club Road MYS Soccer Complex,395 Country Club Road,Middletown
488,Falcon Field (Meriden),1225 North Broad St,Meriden
506,Riverfront Park (Glastonbury),Welles Street,Glastonbury
510,Griswold Town Garage,1170 Voluntown Road (CT-138),Griswold
532,Portland Agogliati Field,,Portland
549,Bartlem Park,500 South Main Street,Cheshire
567,Glastonbury High school,330 Hubbard Street,Glastonbury
569,Heron Cove,125 South River Road across from Woodhenge Drive,Tolland
570,Cross Farms,247 Rhodes Rd,Tolland
572,Farley Field,15 Kristi Lane,Marlborough
576,Veteran's Park (Hebron),28 Wall Street,Hebron
577,Burnt Hill Park,150 East Street,Hebron
603,New London HS,490 Jefferson Ave,New London
625,Portland Recreational Complex,Intersection of Rt 17 (Gospel Lane) and Strickland St,Portland
645,Hebron Avenue School,1363 Hebron Avenue,Glastonbury
648,Blackledge Field,200 West Road,Marlborough
689,G.H. Robertson School,227 Cross Street,Coventry
755,CT Sportsplex,216 Foxon Avenue,North Branford
763,Tolland HS,1 Eagle Hill,Tolland
810,Williams Athletic Complex,Bloomingdale Rd,Quaker Hill
819,Stonington High School,,Stonington
854,St Bernard High School,1593 Norwich-New London Turnpike,Uncasville
865,Star Hill Family Athletic Center,100 Gerber Dr,Tolland
867,Nathan Hale-Ray Middle School,73 Clark Gates Rd,Moodus
882,Stonington Middle School,204 Mistuxet Ave,Mystic
883,Crandall Park,Cider Mill Rd,Tolland
887,Prince Hill Field,95 Prince Hill Road,Brooklyn
891,Caulkins Park,Riverview Avenue,New London
912,Pomfret Rec Park,576 Hampton Rd (Route 97),Pomfret
913,QL,20 Logee Road,Thompson
914,Rawson Field,260 Recreation Park Road,Putnam
917,Griswold Soccer Complex,211 Sheldon Road,Griswold
923,Magnet School,95 Oak Street,Glastonbury
933,Taugwonk Field (Stonington),17-21 Taugwonk Road,Stonington
952,"Long Hill Field, Andover",32 Long Hill Road,Andover
963,Windham High School,355 High St,Willimantic
967,Griswold High School,267 Slater Avenue,Griswold
984,Xavier High School,181 Randolph Rd,Middletown
987,Cheshire HS,525 South Main St,Cheshire
1017,Buckingham Park (1320),1320 Manchester Road,Glastonbury
1021,Smith Middle,216 Addison Road,Glastonbury
1023,Old Killingly HS,79 Westfield Ave,Danielson
1036,Maloney HighSchool,121 Gravel St,Meriden
1039,Ledyard High School,24 Gallup Hill Rd,Ledyard
1046,Lions Fairgrounds,347 Gillead Street,Hebron
1047,West Road Memorial Field,180 West Road,Marlborough
1071,Route 101 Field,1249 Hartford Pike,East Killingly
1072,Riverside Park Field,30 Central Street,North Grosvenordale
1077,Vale Sports Club,1280 Newfield St,Middletown
1082,Giddeon Welles,1029 Neipsic Rd,Glastonbury
1083,Knox Lane,,Glastonbury
1128,Municipal Field,1 Plains Road,Moodus
1136,The Williams School,182 Mohegan Ave,New London
1143,The Forge,49 Randolph road,Middletown
1149,Rotary Glastonbury,385 Old Stage Road,Glastonbury
1158,Miller Richardson Park,325 Main Street,Coventry
