Venue ID,Venue Name,Field ID,Field Name
# Field IDs as issued by Central Assign. RECORDED HERE ON PURPOSE:
# the NEW Central Assign UI does not expose field numbers outwardly, so once
# these leave the database there is no way to look them up again. Tod, 2026-08-12.
123,"Addison Park",68,"Field #1"
123,"Addison Park",72,"Field #5"
123,"Addison Park",71,"Field #4"
123,"Addison Park",70,"Field #3"
123,"Addison Park",69,"Field #2"
366,"Lebanon Elementary School",,"Field 1"
366,"Lebanon Elementary School",1711,"New Field 7v7"
366,"Lebanon Elementary School",352,"Field 4 7v7"
366,"Lebanon Elementary School",351,"Field 3 4v4"
366,"Lebanon Elementary School",350,"Field 2 4v4"
366,"Lebanon Elementary School",349,"Field 1 4v4"
366,"Lebanon Elementary School",,"Field 6"
366,"Lebanon Elementary School",,"Field 5"
366,"Lebanon Elementary School",,"Field 4"
366,"Lebanon Elementary School",,"Field 3"
366,"Lebanon Elementary School",,"Field 2"
367,"Lebanon Middle School",,"Field 1"
369,"Lebanon Lions Field",1159,"1"
369,"Lebanon Lions Field",,"Field 1"
369,"Lebanon Lions Field",1160,"2"
369,"Lebanon Lions Field",1161,"3"
510,"Griswold Town Garage",80,"Field 1 (West)"
510,"Griswold Town Garage",81,"Field 2 (East)"
572,"Farley Field",1184,"A"
572,"Farley Field",1185,"B"
576,"Veteran's Park (Hebron)",1642,"2"
576,"Veteran's Park (Hebron)",1641,"1"
577,"Burnt Hill Park",1186,"Upper A"
577,"Burnt Hill Park",1189,"Upper B"
577,"Burnt Hill Park",1188,"Lower B"
577,"Burnt Hill Park",1187,"Lower A"
613,"Prince Hill",9005,"Field 2"
613,"Prince Hill",9004,"Field 1"
648,"Blackledge Field",1311,"#1"
648,"Blackledge Field",1312,"#2"
711,"Nathan Hale-Ray High School",855,"Back Field"
711,"Nathan Hale-Ray High School",854,"Front Field"
812,"Pomfret Rec",9007,"Field 1"
867,"Nathan Hale-Ray Middle School",3,"Main Field"
899,"Manship Park (Canterbury)",1059,"Fld. 02A"
899,"Manship Park (Canterbury)",898,"Fld. 01A"
899,"Manship Park (Canterbury)",866,"Fld. 02"
899,"Manship Park (Canterbury)",865,"Fld. 01"
899,"Manship Park (Canterbury)",899,"Fld. 01B"
899,"Manship Park (Canterbury)",1058,"Fld. 01D"
899,"Manship Park (Canterbury)",1057,"Fld. 01C"
910,"Woodstock Elementary",9009,"Field 1"
914,"Rawson Field",9008,"Field 1"
914,"Rawson Field",817,"Field - U18"
914,"Rawson Field",818,"Field #1"
914,"Rawson Field",819,"Field #2"
914,"Rawson Field",820,"Field #3"
917,"Griswold Soccer Complex",1314,"Field 1"
917,"Griswold Soccer Complex",1315,"Field 2"
952,"Long Hill Field, Andover",1425,"7v7"
952,"Long Hill Field, Andover",1426,"9v9"
967,"Griswold High School",938,"Varsity Field"
967,"Griswold High School",939,"JV Field"
1023,"Old Killingly HS",1614,"Field #1"
1023,"Old Killingly HS",1615,"Field #2"
1023,"Old Killingly HS",1616,"Field #3"
1046,"Lions Fairgrounds",1193,"C"
1046,"Lions Fairgrounds",1192,"B"
1046,"Lions Fairgrounds",1194,"D"
1046,"Lions Fairgrounds",1195,"E"
1046,"Lions Fairgrounds",1191,"A"
1047,"West Road Memorial Field",1190,"A"
1072,"Riverside Park Field",9006,"Field 1"
1156,"Killingly HS",1650,"Turf 2"
1156,"Killingly HS",1649,"Turf 1"
,"Sterling Community School",,"Field 1  U8-U10"
,"Sterling Community School",,"Field 3  U8-U10"
,"Sterling Community School",,"Field 4  U15-U19"
,"Sterling Community School",1,""
,"Sterling Community School",,"Field 2  U8-U10"
