#,GAME,DATE,TIME,DURATION,HOME TEAM,AWAY TEAM,HOME SCORE,AWAY SCORE,GROUPING,REGION,LOCATION,SURFACE,STATUS
1,1,6/14/2025,11:45 AM,60,Game OPP-BU10 Blue,BU10 - Blue,-,-,25-26 Travel Teams > BOYS > BOYS U10,,x-Tree Farm (VT),Field 12A,ACTIVE
2,2,6/14/2025,4:45 PM,60,BU10 - Blue,Game OPP-BU10 Blue,-,-,25-26 Travel Teams > BOYS > BOYS U10,,x-Tree Farm (VT),Field 12A,ACTIVE
3,3,6/15/2025,8:00 AM,60,BU10 - Blue,Game OPP-BU10 Blue,-,-,25-26 Travel Teams > BOYS > BOYS U10,,x-Tree Farm (VT),Field 9,ACTIVE
4,4,6/15/2025,10:30 AM,60,Game OPP-BU10 Blue,BU10 - Blue,-,-,25-26 Travel Teams > BOYS > BOYS U10,,x-Tree Farm (VT),Field 9,ACTIVE
5,5,8/23/2025,9:00 AM,90,BU08 - YTL,YTL Scrimmage - No Ref,-,-,25-26 Travel Teams > BOYS > Boys YTL,,Rotary 1,7v7-Game,ACTIVE
6,8,8/24/2025,3:00 PM,90,Game OPP-BU13 Blue,BU13 - Blue,-,-,25-26 Travel Teams > BOYS > BOYS U13,,x-Simsbury Curtis Park,Field D (11v11),ACTIVE
7,34,8/30/2025,11:00 AM,60,Game OPP-BU09 Blue,BU09 - Blue,-,-,25-26 Travel Teams > BOYS > BOYS U09,,x-S. Windsor-Rye St,Field 7,ACTIVE
8,28,9/6/2025,9:00 AM,90,BU14/15 Red,Game OPP-BU15 White,-,-,25-26 Travel Teams > BOYS > BOYS U14-15,,Buckingham 1 (11v11),1-11v11-Game,ACTIVE
9,7,9/6/2025,9:00 AM,90,BU08 - YTL,YTL Scrimmage - No Ref,-,-,25-26 Travel Teams > BOYS > Boys YTL,,Rotary 1,7v7-Game,ACTIVE
10,26,9/6/2025,11:00 AM,60,BU11 - White,Game OPP-BU11 White,-,-,25-26 Travel Teams > BOYS > BOYS U11,,Addison 4 (9v9),4-9v9-Game,ACTIVE
11,37,9/6/2025,11:00 AM,60,Game OPP-GU11 Blue,GU11 - Blue,-,-,25-26 Travel Teams > GIRLS > GIRLS U11,,x-Manchester-Veterans Field,Field 1-7v7,ACTIVE
12,70,9/6/2025,5:30 PM,60,South Windsor,GU10 - Blue,-,-,25-26 Travel Teams > GIRLS > GIRLS U10,,Rye Park,Grass,ACTIVE
13,105,9/7/2025,9:00 AM,90,BU14/15 Red,CUP Opp-BU15 WHITE,-,-,25-26 Travel Teams > BOYS > BOYS U14-15,,Buckingham 1 (11v11),1-11v11-Game,ACTIVE
14,45,9/7/2025,9:00 AM,60,BU10 - Blue,Game OPP-BU10 Blue,-,-,25-26 Travel Teams > BOYS > BOYS U10,,Hebron Ave School,7v7-Game,ACTIVE
15,80,9/7/2025,9:00 AM,90,Game OPP-GU13 Blue,GU13 - Blue,-,-,25-26 Travel Teams > GIRLS > GIRLS U13,,x-S. Windsor-Nevers Park,Field 15,ACTIVE
16,89,9/7/2025,9:00 AM,60,GU09 - Blue,Game OPP-GU09 Blue,-,-,25-26 Travel Teams > GIRLS > GIRLS U09,,Riverfront 3 (7v7),3-7v7-Game,ACTIVE
17,104,9/7/2025,11:00 AM,60,Game OPP-BU12 White,BU12 - White,-,-,25-26 Travel Teams > BOYS > BOYS U12,,x-East Hampton High School,EHHS,ACTIVE
18,113,9/7/2025,11:00 AM,60,GU09 - White,Game OPP-GU09 White,-,-,25-26 Travel Teams > GIRLS > GIRLS U09,,Hebron Ave School,7v7-Game,ACTIVE
19,48,9/7/2025,11:00 AM,60,BU10 - White,Game OPP-BU10 White,-,-,25-26 Travel Teams > BOYS > BOYS U10,,GEH Magnet School (7v7),7v7-Game,ACTIVE
20,62,9/7/2025,11:00 AM,60,BU10 - Red,Game OPP-BU10 Red,-,-,25-26 Travel Teams > BOYS > BOYS U10,,Riverfront 2 (7v7),#2-7v7-Game,ACTIVE
21,63,9/7/2025,11:00 AM,60,GU11 - White,Game OPP-GU11 White,-,-,25-26 Travel Teams > GIRLS > GIRLS U11,,Addison 4 (9v9),4-9v9-Game,ACTIVE
